Precision,Recall,F-Score,MAP,nDCG
0.76,0.1303159737761601,0.2134340016256752,0.1303159737761601,0.5733333333333335
0.6444444444444445,0.21143774850518024,0.2995023510606169,0.20564902089292317,0.561963509388095
0.5600000000000002,0.2684335441527002,0.3380737224991698,0.2533858347814613,0.5613333981716121
0.4922222222222222,0.3085141703654427,0.35208018661260054,0.2825543513536628,0.5567545507353145
0.4462222222222225,0.3465514887974981,0.36131208708001467,0.3045926474954678,0.5610552681458119
0.4044444444444444,0.37064810958297334,0.3579607187013517,0.3189350214702807,0.5641051229710435
0.3834920634920639,0.40257929502788425,0.36307276573141806,0.33504421147106744,0.5714045894768368
0.3561111111111111,0.42012572884098454,0.3561827247814734,0.3451224511326405,0.5749429693504914
0.33135802469135817,0.4350137993761141,0.34806890860516027,0.3525229033391928,0.5774458118052797
0.31288888888888894,0.4524530386904823,0.3427383197535449,0.35963699149084544,0.5785891403130453
